Time (s),GenPwr
94.7000,8.233E+02
94.8000,8.237E+02
94.9000,8.239E+02
95.0000,8.236E+02
95.1000,8.227E+02
95.2000,8.217E+02
95.3000,8.208E+02
95.4000,8.202E+02
95.5000,8.197E+02
95.6000,8.198E+02
95.7000,8.204E+02
95.8000,8.215E+02
95.9000,8.229E+02
96.0000,8.246E+02
96.1000,8.261E+02
96.2000,8.275E+02
96.3000,8.288E+02
96.4000,8.301E+02
96.5000,8.315E+02
96.6000,8.333E+02
96.7000,8.355E+02
96.8000,8.381E+02
96.9000,8.406E+02
97.0000,8.425E+02
97.1000,8.440E+02
97.2000,8.451E+02
97.3000,8.459E+02
97.4000,8.462E+02
97.5000,8.461E+02
97.6000,8.457E+02
97.7000,8.449E+02
97.8000,8.438E+02
97.9000,8.428E+02
98.0000,8.421E+02
98.1000,8.413E+02
98.2000,8.406E+02
98.3000,8.401E+02
98.4000,8.397E+02
98.5000,8.396E+02
98.6000,8.398E+02
98.7000,8.404E+02
98.8000,8.415E+02
98.9000,8.428E+02
99.0000,8.440E+02
99.1000,8.450E+02
99.2000,8.461E+02
99.3000,8.476E+02
99.4000,8.497E+02
99.5000,8.522E+02
99.6000,8.548E+02
99.7000,8.576E+02
99.8000,8.602E+02
99.9000,8.624E+02
100.0000,8.641E+02
100.1000,8.655E+02
100.2000,8.662E+02
100.3000,8.664E+02
100.4000,8.661E+02
100.5000,8.653E+02
100.6000,8.641E+02
100.7000,8.629E+02
100.8000,8.621E+02
100.9000,8.616E+02
101.0000,8.613E+02
101.1000,8.612E+02
101.2000,8.615E+02
101.3000,8.622E+02
101.4000,8.633E+02
101.5000,8.646E+02
101.6000,8.662E+02
101.7000,8.680E+02
101.8000,8.694E+02
101.9000,8.704E+02
102.0000,8.711E+02
102.1000,8.715E+02
102.2000,8.722E+02
102.3000,8.731E+02
102.4000,8.735E+02
102.5000,8.738E+02
102.6000,8.738E+02
102.7000,8.739E+02
102.8000,8.743E+02
102.9000,8.748E+02
103.0000,8.750E+02
103.1000,8.746E+02
103.2000,8.736E+02
103.3000,8.723E+02
103.4000,8.712E+02
103.5000,8.704E+02
103.6000,8.700E+02
103.7000,8.699E+02
103.8000,8.704E+02
103.9000,8.715E+02
104.0000,8.729E+02
104.1000,8.744E+02
104.2000,8.761E+02
104.3000,8.779E+02
104.4000,8.799E+02
104.5000,8.816E+02
104.6000,8.834E+02
104.7000,8.845E+02
104.8000,8.850E+02
104.9000,8.850E+02
105.0000,8.847E+02
105.1000,8.843E+02
105.2000,8.839E+02
105.3000,8.836E+02
105.4000,8.838E+02
105.5000,8.843E+02
105.6000,8.847E+02
105.7000,8.847E+02
105.8000,8.842E+02
105.9000,8.831E+02
106.0000,8.817E+02
106.1000,8.805E+02
106.2000,8.795E+02
106.3000,8.786E+02
106.4000,8.778E+02
106.5000,8.772E+02
106.6000,8.773E+02
106.7000,8.779E+02
